N	U
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	30
3	30
3	6
3	6
3	6
3	6
3	6
3	6
3	6
3	6
3	6
3	6
3	6
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	30
4	6
5	15
5	15
5	15
5	15
5	15
5	15
5	15
