sampleAB ksd.value
t1f11_t1f14 0.0192598265971759
t1f11_t1f2 0.104332641983465
t1f11_t1f23 0.307360512732977
t1f11_t1f24 0.611930233486861
t1f11_t1f4 0.0270154222994814
t1f11_t1f9 0.0542641289775287
t1f11_t1l1 0.0690585337670641
t1f11_t1l10 0.0477917837448473
t1f11_t1l13 0.755604580404244
t1f11_t1l3 0.0842303302527716
t1f11_t1l6 0.0666326946702065
t1f11_t1l8 0.0445398481736341
t1f11_t1z1 0.33005794680279
t1f11_t1z3 0.0871989023490402
t1f11_t1z5 0.0763013980763885
t1f14_t1f2 0.120423091617548
t1f14_t1f23 0.313460093633593
t1f14_t1f24 0.625437234831047
t1f14_t1f4 0.043044489555673
t1f14_t1f9 0.0701395472967914
t1f14_t1l1 0.0818503123613327
t1f14_t1l10 0.0639504054953586
t1f14_t1l13 0.767171221831261
t1f14_t1l3 0.0986994056393568
t1f14_t1l6 0.0826681556212139
t1f14_t1l8 0.0610953544597976
t1f14_t1z1 0.338583727801799
t1f14_t1z3 0.101947909107118
t1f14_t1z5 0.0595878807813642
t1f2_t1f23 0.336431130238582
t1f2_t1f24 0.620907920824461
t1f2_t1f4 0.0802615071740881
t1f2_t1f9 0.0548778282755299
t1f2_t1l1 0.0513962129300293
t1f2_t1l10 0.0640144110649484
t1f2_t1l13 0.775615233367489
t1f2_t1l3 0.0317839864772005
t1f2_t1l6 0.0475020407407412
t1f2_t1l8 0.064478823055674
t1f2_t1z1 0.341926893208047
t1f2_t1z3 0.0387344872838021
t1f2_t1z5 0.175684731639979
t1f23_t1f24 0.374505316491266
t1f23_t1f4 0.308858309822538
t1f23_t1f9 0.314330933407922
t1f23_t1l1 0.293477029856945
t1f23_t1l10 0.286323215008456
t1f23_t1l13 0.608300229973037
t1f23_t1l3 0.313529599513822
t1f23_t1l6 0.294605513275812
t1f23_t1l8 0.322040654596003
t1f23_t1z1 0.0550579808796454
t1f23_t1z3 0.342131231196167
t1f23_t1z5 0.363275328780688
t1f24_t1f4 0.617606966431989
t1f24_t1f9 0.60809154674535
t1f24_t1l1 0.580086197816748
t1f24_t1l10 0.589091094461129
t1f24_t1l13 0.311121722378664
t1f24_t1l3 0.607976331210273
t1f24_t1l6 0.576947494069117
t1f24_t1l8 0.621469187085399
t1f24_t1z1 0.327881002828733
t1f24_t1z3 0.632465023902845
t1f24_t1z5 0.681626257292484
t1f4_t1f9 0.0328443231937637
t1f4_t1l1 0.0448916469661151
t1f4_t1l10 0.0346069683091695
t1f4_t1l13 0.764979556439813
t1f4_t1l3 0.0607968725213984
t1f4_t1l6 0.0450148930704866
t1f4_t1l8 0.0211024898833133
t1f4_t1z1 0.33193670347072
t1f4_t1z3 0.064733539909879
t1f4_t1z5 0.095794520093893
t1f9_t1l1 0.0348502030874117
t1f9_t1l10 0.0326122292079209
t1f9_t1l13 0.758924322468613
t1f9_t1l3 0.0329560587057781
t1f9_t1l6 0.0363705220280741
t1f9_t1l8 0.017992745908441
t1f9_t1z1 0.327962357170381
t1f9_t1z3 0.0414470569383684
t1f9_t1z5 0.122721425897524
t1l1_t1l10 0.0224544460559507
t1l1_t1l13 0.732683721860871
t1l1_t1l3 0.0357539295161076
t1l1_t1l6 0.0180530185549879
t1l1_t1l8 0.0495319143374451
t1l1_t1z1 0.297151415168254
t1l1_t1z3 0.0587094281917023
t1l1_t1z5 0.130584419255366
t1l10_t1l13 0.741305835356979
t1l10_t1l3 0.0391515068005389
t1l10_t1l6 0.0246008893285688
t1l10_t1l8 0.0459577628929147
t1l10_t1z1 0.298747128327679
t1l10_t1z3 0.0578064206550323
t1l10_t1z5 0.115285957561459
t1l13_t1l3 0.760352438375259
t1l13_t1l6 0.729918778851309
t1l13_t1l8 0.759142066699439
t1l13_t1z1 0.56087316892258
t1l13_t1z3 0.777526312123625
t1l13_t1z5 0.804312772216725
t1l3_t1l6 0.0406245573771279
t1l3_t1l8 0.0428505737649887
t1l3_t1z1 0.325455559072541
t1l3_t1z3 0.0312114224261591
t1l3_t1z5 0.147868178269732
t1l6_t1l8 0.0472858072015312
t1l6_t1z1 0.300824199041846
t1l6_t1z3 0.0582689298851752
t1l6_t1z5 0.133374538483822
t1l8_t1z1 0.341312769355411
t1l8_t1z3 0.0465074976130378
t1l8_t1z5 0.114978506856723
t1z1_t1z3 0.351620850095604
t1z1_t1z5 0.390492721393562
t1z3_t1z5 0.143176962333347
