sampleAB fst.value
t1f11_t1f14 0.0507532719891321
t1f11_t1f2 0.13607198493729
t1f11_t1f23 0.48055084960324
t1f11_t1f24 0.405374498709824
t1f11_t1f4 0.124975182152706
t1f11_t1f9 0.0527364029890381
t1f11_t1l1 0.142426927317479
t1f11_t1l10 0.133032480797616
t1f11_t1l13 0.469342603844309
t1f11_t1l3 0.137556911566131
t1f11_t1l6 0.139855539403847
t1f11_t1l8 0.0514598725303314
t1f11_t1z1 0.471250432518653
t1f11_t1z3 0.557217345258852
t1f11_t1z5 0.53859918052186
t1f14_t1f2 0.137453959243029
t1f14_t1f23 0.479352510939677
t1f14_t1f24 0.404083130645943
t1f14_t1f4 0.125314405271731
t1f14_t1f9 0.0493306209913574
t1f14_t1l1 0.141656431905732
t1f14_t1l10 0.133475350011683
t1f14_t1l13 0.466960649419193
t1f14_t1l3 0.138884632424638
t1f14_t1l6 0.140655560326896
t1f14_t1l8 0.051346155935901
t1f14_t1z1 0.470259466960321
t1f14_t1z3 0.556473933552801
t1f14_t1z5 0.537642785057815
t1f2_t1f23 0.492404374121291
t1f2_t1f24 0.416800180388361
t1f2_t1f4 0.0606078739440936
t1f2_t1f9 0.137471914001796
t1f2_t1l1 0.127400606564736
t1f2_t1l10 0.0923467768626508
t1f2_t1l13 0.492154530606849
t1f2_t1l3 0.0690354196688586
t1f2_t1l6 0.0694179893056916
t1f2_t1l8 0.136710578808697
t1f2_t1z1 0.480349564684988
t1f2_t1z3 0.565785811126453
t1f2_t1z5 0.548795397586522
t1f23_t1f24 0.374335915676717
t1f23_t1f4 0.481541424435803
t1f23_t1f9 0.486490236246107
t1f23_t1l1 0.484138868317875
t1f23_t1l10 0.484137842489031
t1f23_t1l13 0.400892682898972
t1f23_t1l3 0.488814569561586
t1f23_t1l6 0.486333076153266
t1f23_t1l8 0.486004145747229
t1f23_t1z1 0.437938895205281
t1f23_t1z3 0.298967673734273
t1f23_t1z5 0.493493312299061
t1f24_t1f4 0.405814423168745
t1f24_t1f9 0.411048968394092
t1f24_t1l1 0.408977119565422
t1f24_t1l10 0.408661170956479
t1f24_t1l13 0.310363466724408
t1f24_t1l3 0.413331749290746
t1f24_t1l6 0.410966380998339
t1f24_t1l8 0.410652536872107
t1f24_t1z1 0.389364859379266
t1f24_t1z3 0.453532333828261
t1f24_t1z5 0.435340494216294
t1f4_t1f9 0.128777683651746
t1f4_t1l1 0.119073445007206
t1f4_t1l10 0.0890922762086158
t1f4_t1l13 0.471777227312679
t1f4_t1l3 0.0696673574255122
t1f4_t1l6 0.0674702960336304
t1f4_t1l8 0.127886022330144
t1f4_t1z1 0.471980575158131
t1f4_t1z3 0.557431805097371
t1f4_t1z5 0.539101128105176
t1f9_t1l1 0.14488731943843
t1f9_t1l10 0.135311368036306
t1f9_t1l13 0.480811498433772
t1f9_t1l3 0.140441315392228
t1f9_t1l6 0.142532527366173
t1f9_t1l8 0.051967927256147
t1f9_t1z1 0.475731466848596
t1f9_t1z3 0.561508939745065
t1f9_t1z5 0.543712265642483
t1l1_t1l10 0.12402647018625
t1l1_t1l13 0.476285612636236
t1l1_t1l3 0.128884740839441
t1l1_t1l6 0.12934097278633
t1l1_t1l8 0.143509081657902
t1l1_t1z1 0.473866287509541
t1l1_t1z3 0.559450841512689
t1l1_t1z5 0.541196299221704
t1l10_t1l13 0.476271458764049
t1l10_t1l3 0.0939142133637766
t1l10_t1l6 0.0967893771204657
t1l10_t1l8 0.133212166371042
t1l10_t1z1 0.47394778484738
t1l10_t1z3 0.559955584848265
t1l10_t1z5 0.541740856855563
t1l13_t1l3 0.4854027727357
t1l13_t1l6 0.480525546237353
t1l13_t1l8 0.479935259284175
t1l13_t1z1 0.412463893030039
t1l13_t1z3 0.518205223640197
t1l13_t1z5 0.494636292748196
t1l3_t1l6 0.0728809804327648
t1l3_t1l8 0.139218747056118
t1l3_t1z1 0.477593740509117
t1l3_t1z3 0.563260222357869
t1l3_t1z5 0.545684781906556
t1l6_t1l8 0.141522469464753
t1l6_t1z1 0.475588231949402
t1l6_t1z3 0.561305359006596
t1l6_t1z5 0.543227584404913
t1l8_t1z1 0.475403167082211
t1l8_t1z3 0.561218300402524
t1l8_t1z5 0.543295589494477
t1z1_t1z3 0.49777002035486
t1z1_t1z5 0.483641778209784
t1z3_t1z5 0.552497404719578
