sampleAB fst.value
t2f13_t2f2 0.0640615164654973
t2f13_t2f5 0.162621211221312
t2f13_t2f9 0.148345693657656
t2f13_t2g11 0.553384333212932
t2f13_t2g13 0.455204055497621
t2f13_t2g1 0.535697367470567
t2f13_t2g6 0.143963218224824
t2f13_t2g9 0.104564542709097
t2f2_t2f5 0.160478628212575
t2f2_t2f9 0.145601598852112
t2f2_t2g11 0.552470856159306
t2f2_t2g13 0.452823656384238
t2f2_t2g1 0.535141211677997
t2f2_t2g6 0.142928156112525
t2f2_t2g9 0.10217005347051
t2f5_t2f9 0.133453439705845
t2f5_t2g11 0.564003951587707
t2f5_t2g13 0.468916083834995
t2f5_t2g1 0.540981680124295
t2f5_t2g6 0.206979067399079
t2f5_t2g9 0.182453228813248
t2f9_t2g11 0.551507117989091
t2f9_t2g13 0.452626149159384
t2f9_t2g1 0.534930526114871
t2f9_t2g6 0.19049702479987
t2f9_t2g9 0.164629782011328
t2g11_t2g13 0.473654077056653
t2g11_t2g1 0.542557611982873
t2g11_t2g6 0.535268114180304
t2g11_t2g9 0.544765644656605
t2g13_t2g1 0.470785309175282
t2g13_t2g6 0.43901449804386
t2g13_t2g9 0.442982123729571
t2g1_t2g6 0.526698922339184
t2g1_t2g9 0.531189623177808
t2g6_t2g9 0.115093658097356
