sampleAB ksd.value
t2f13_t2f2 0.0207218500172181
t2f13_t2f5 0.0682446259896169
t2f13_t2f9 0.0495395767195767
t2f13_t2g11 0.134436296398815
t2f13_t2g13 0.544698609609496
t2f13_t2g1 0.035586709897993
t2f13_t2g6 0.150500689655172
t2f13_t2g9 0.0766227585379828
t2f2_t2f5 0.0735038866760754
t2f2_t2f9 0.0561085786788086
t2f2_t2g11 0.138386868838602
t2f2_t2g13 0.527770048889806
t2f2_t2g1 0.0322814808050909
t2f2_t2g6 0.132985023404267
t2f2_t2g9 0.0617239953203094
t2f5_t2f9 0.112617732315164
t2f5_t2g11 0.0691330160412585
t2f5_t2g13 0.590279736203932
t2f5_t2g1 0.0740945788621932
t2f5_t2g6 0.196861199329517
t2f5_t2g9 0.121865698051159
t2f9_t2g11 0.176841060446224
t2f9_t2g13 0.580519362783189
t2f9_t2g1 0.0737103306172617
t2f9_t2g6 0.186397840266375
t2f9_t2g9 0.0671272070736906
t2g11_t2g13 0.57200040889534
t2g11_t2g1 0.112202698394279
t2g11_t2g6 0.215655567452178
t2g11_t2g9 0.186780672150613
t2g13_t2g1 0.522554467558281
t2g13_t2g6 0.39766467927176
t2g13_t2g9 0.517342140990781
t2g1_t2g6 0.13551773488845
t2g1_t2g9 0.0785006805507046
t2g6_t2g9 0.124036333064613
